,Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
224,3.50941382,-0.995100735,7.095416941,1,2.964,2931.766
225,3.508582449,-0.995396022,7.118356526,1,2.963,2944.844
226,3.507498912,-0.994574314,7.160872693,1,2.961,2957.938
227,3.50642814,-0.995208697,7.20522886,1,2.961,2971.016
228,3.505334425,-0.995374691,7.238210683,1,2.96,2984.156
229,3.504547784,-0.993804518,7.278152088,1,2.959,2997.266
230,3.50359815,-0.995034083,7.325664768,1,2.958,3010.328
231,3.502804921,-0.997120056,7.377788253,1,2.957,3023.469
232,3.50187873,-0.994857304,7.397144035,1,2.956,3036.547
233,3.500971782,-0.995391434,7.406891237,1,2.955,3049.625
234,3.500140525,-0.995115181,7.451504089,1,2.955,3062.719
235,3.499212874,-0.995723318,7.48881455,1,2.953,3075.875
236,3.498516477,-0.995124497,7.541218379,1,2.953,3088.985
237,3.497737612,-0.996223488,7.585405703,1,2.952,3102.156
238,3.496781947,-0.996199603,7.5856488,1,2.951,3115.328
239,3.495946248,-0.996492227,7.647061881,1,2.951,3128.422
240,3.49518949,-0.995312795,7.666215447,1,2.949,3141.485
241,3.494529064,-0.995999799,7.704642465,1,2.949,3154.594
242,3.493669698,-0.995225686,7.761006683,1,2.948,3167.703
243,3.493036767,-1.001101348,7.79210102,1,2.947,3180.844
244,3.492328226,-0.994780254,7.859331457,1,2.947,3193.969
245,3.491563543,-0.995525882,7.87660884,1,2.946,3207.016
246,3.490625992,-0.995125281,7.90758087,1,2.945,3220.11
247,3.489994491,-0.995649782,7.939647659,1,2.945,3233.188
248,3.489338764,-0.995947024,7.999870649,1,2.944,3246.266
249,3.488657803,-0.995183974,8.027799388,1,2.943,3259.344
250,3.487890012,-0.994094664,8.028047672,1,2.943,3272.485
251,3.487350825,-0.995894206,8.046394613,1,2.942,3285.563
252,3.486454599,-0.997039132,8.094251948,1,2.941,3298.735
253,3.485661119,-0.995091515,8.123025498,1,2.941,3311.828
254,3.485021953,-0.996753911,8.146628564,1,2.94,3324.969
255,3.484477324,-0.995513355,8.188197988,1,2.939,3338.125
256,3.483561937,-0.99381245,8.202600777,1,2.938,3351.266
257,3.48292188,-0.99498677,8.23870798,1,2.937,3364.453
258,3.482315587,-0.995752401,8.257091978,1,2.937,3377.625
259,3.481453244,-0.994958869,8.298195133,1,2.936,3390.797
260,3.480845346,-0.995152141,8.345030762,1,2.935,3403.938
261,3.480104308,-0.996273374,8.355976755,1,2.935,3417.078
262,3.4793074,-0.995919519,8.375761095,1,2.934,3430.219
263,3.478656757,-0.994878999,8.406159207,1,2.933,3443.422
264,3.477944508,-0.995589118,8.42928354,1,2.933,3456.594
265,3.477271995,-0.996826819,8.457562396,1,2.931,3469.719
266,3.476484235,-0.994241543,8.483589568,1,2.931,3482.828
267,3.475748716,-0.996722258,8.537186793,1,2.93,3495.922
268,3.475040538,-0.995555044,8.5446893,1,2.929,3509
269,3.474287621,-0.993408477,8.569542388,1,2.929,3522.203
270,3.473466965,-0.994580004,8.607966674,1,2.928,3535.344
271,3.472737261,-0.9951211,8.609446409,1,2.927,3548.422
272,3.472019768,-0.995629909,8.64309873,1,2.927,3561.531
273,3.471197818,-0.995761142,8.674582826,1,2.926,3574.625
274,3.470470783,-0.993302052,8.725820484,1,2.925,3587.735
275,3.469671844,-0.995313592,8.727678105,1,2.924,3600.828
276,3.469000094,-0.994801063,8.779329062,1,2.923,3613.922
277,3.468181682,-0.995259718,8.807525999,1,2.923,3627.063
278,3.467381299,-0.995955625,8.83822965,1,2.922,3640.172
279,3.466777147,-0.995808533,8.859085178,1,2.921,3653.281
280,3.466008146,-0.994315315,8.884051981,1,2.921,3666.391
281,3.465111904,-0.994438424,8.909250809,1,2.92,3679.516
282,3.464497434,-0.995543554,8.941985128,1,2.919,3692.656
283,3.463568423,-0.994956453,8.940032956,1,2.918,3705.86
284,3.462814187,-0.996335263,8.98710412,1,2.917,3718.985
285,3.462142725,-0.994170309,8.998776017,1,2.917,3732.094
286,3.461267941,-0.997126225,9.027878156,1,2.916,3745.219
287,3.460682395,-0.992154925,9.054563285,1,2.915,3758.344
288,3.459682486,-0.994617915,9.096776355,1,2.914,3771.516
289,3.458877156,-0.995051776,9.097045598,1,2.913,3784.61
290,3.458014737,-0.995783172,9.133877134,1,2.913,3797.766
291,3.457300023,-0.994411252,9.139833178,1,2.912,3810.891
292,3.456616749,-0.995153784,9.03950676,1,2.911,3824
293,3.455509501,-0.995103504,8.745071054,1,2.91,3837.11
294,3.453995595,-0.994669744,8.544638067,1,2.909,3850.156
295,3.452542071,-0.995278226,8.408139517,1,2.907,3863.313
296,3.450998405,-0.994926634,8.30395988,1,2.906,3876.406
297,3.448951191,-0.99487206,8.180981447,1,2.904,3889.594
298,3.447097018,-0.997270437,7.992354128,1,2.902,3902.672
299,3.445042776,-0.994937701,7.873294089,1,2.9,3915.766
300,3.442754386,-0.995860857,7.759185474,1,2.897,3928.891
301,3.440375142,-0.995617633,7.655513642,1,2.895,3941.985
302,3.438061422,-0.994934986,7.566494687,1,2.893,3955.047
303,3.435672611,-0.994128694,7.432633388,1,2.891,3968.141
304,3.433094641,-0.997028845,7.311164578,1,2.888,3981.297
305,3.430388258,-0.996638653,7.225846946,1,2.885,3994.406
306,3.42781673,-0.99471141,7.142842831,1,2.883,4007.563
307,3.425110724,-0.994374674,7.072860098,1,2.88,4020.766
308,3.422324876,-0.99456155,7.177157616,1,2.878,4033.875
309,3.420069925,-0.996111217,7.322216433,1,2.875,4046.985
310,3.41772004,-0.994295708,7.409888208,1,2.873,4060.11
311,3.415780177,-0.994819866,7.513100609,1,2.871,4073.266
312,3.413945845,-0.995918735,7.557387059,1,2.869,4086.328
313,3.412171551,-0.994836831,7.611625278,1,2.867,4099.422
314,3.410371587,-0.99615782,7.682892539,1,2.865,4112.61
315,3.408821521,-0.995137966,7.750260297,1,2.863,4125.703
316,3.407045142,-0.994605702,7.783957488,1,2.862,4138.891
317,3.40557383,-0.995586414,7.808956359,1,2.86,4151.938
318,3.403963245,-0.995043641,7.854757194,1,2.859,4165.078
319,3.40269953,-0.995169494,7.904538043,1,2.857,4178.219
320,3.40122885,-0.994047202,7.903723659,1,2.856,4191.344
321,3.399836975,-0.994461222,7.946102257,1,2.855,4204.453
322,3.398648428,-0.997821149,7.990589078,1,2.853,4217.531
323,3.39752993,-0.994999561,8.016247909,1,2.852,4230.641
324,3.396216409,-0.998787926,8.022351385,1,2.851,4243.75
325,3.394770379,-0.996541277,8.093577153,1,2.849,4256.828
326,3.393724949,-0.994654694,8.136866906,1,2.848,4269.875
327,3.392274524,-0.994969746,8.147889716,1,2.847,4283.047
328,3.391116726,-0.995894014,8.213956767,1,2.845,4296.141
329,3.389953295,-0.993780017,8.248131435,1,2.845,4309.235
330,3.388393307,-0.995080734,8.287914373,1,2.843,4322.36
331,3.387525767,-0.994506568,8.326157729,1,2.842,4335.485
332,3.386219477,-0.994455604,8.351342818,1,2.841,4348.625
333,3.384998748,-0.996154939,8.384870053,1,2.84,4361.86
334,3.383618764,-0.997217687,8.421358027,1,2.839,4375.172
335,3.382407251,-0.996009113,8.463512842,1,2.837,4388.438
336,3.381262885,-0.995034078,8.502799651,1,2.836,4401.75
337,3.380052323,-0.995925422,8.521798901,1,2.835,4414.985
338,3.378846938,-0.994809688,8.591148382,1,2.834,4428.266
339,3.377598278,-0.995098303,8.617344274,1,2.833,4441.5
340,3.376300113,-0.99521605,8.657147654,1,2.831,4454.703
341,3.375063966,-0.993027649,8.704050767,1,2.83,4468.016
342,3.373951184,-0.995894644,8.751910151,1,2.829,4481.25
343,3.372680255,-0.996743882,8.776369788,1,2.827,4494.516
344,3.371376326,-0.995012512,8.796939623,1,2.826,4507.719
345,3.370068013,-0.996650464,8.862095971,1,2.825,4520.938
346,3.368914753,-0.994869621,8.878615558,1,2.823,4534.219
347,3.367606249,-0.996023298,8.91678363,1,2.822,4547.578
348,3.366343441,-0.997291977,8.938084886,1,2.821,4560.797
349,3.364862593,-0.995322474,8.969858275,1,2.82,4574
350,3.363407385,-0.995690032,8.992156577,1,2.819,4587.235
351,3.362040166,-0.994330213,9.030355582,1,2.817,4600.469
352,3.360676834,-0.994823461,9.040240163,1,2.816,4613.719
353,3.35917558,-0.994302828,9.097750365,1,2.814,4626.938
354,3.357687888,-0.996046531,9.125881831,1,2.813,4640.203
355,3.356351454,-0.994980618,9.143516424,1,2.811,4653.469
356,3.354768698,-0.995923121,9.164196626,1,2.81,4666.797
357,3.353080489,-0.995770464,9.207747449,1,2.809,4679.985
358,3.351539152,-0.99494905,9.247858346,1,2.807,4693.266
359,3.350144571,-0.995531633,9.283001033,1,2.805,4706.453
360,3.348511808,-0.995432313,9.308988416,1,2.803,4719.703
361,3.346940627,-0.995358902,9.331577771,1,2.802,4732.953
362,3.345402952,-0.995311556,9.35588342,1,2.801,4746.203
363,3.343717506,-0.9948107,9.382475339,1,2.799,4759.469
364,3.341991897,-0.997311134,9.417092208,1,2.797,4772.719
365,3.340198563,-0.994039892,9.433677611,1,2.795,4786
366,3.33822321,-0.995640516,9.484025266,1,2.793,4799.25
367,3.336583535,-0.996252244,9.531395149,1,2.792,4812.485
368,3.3351095,-0.993826078,9.553860801,1,2.79,4825.735
369,3.333191517,-0.994771571,9.590396452,1,2.788,4838.922
370,3.331479794,-0.994491566,9.608629798,1,2.787,4852.125
371,3.329512307,-0.996982053,9.64513893,1,2.785,4865.422
372,3.327527919,-0.99561472,9.676228177,1,2.783,4878.672
373,3.325828117,-0.996769492,9.727067001,1,2.781,4891.985
374,3.323896465,-0.996667734,9.748091079,1,2.779,4905.219
375,3.321683695,-0.995899498,9.751833266,1,2.777,4918.453
376,3.319693959,-0.995153949,9.791726837,1,2.775,4931.672
377,3.317580915,-0.99566337,9.83748417,1,2.773,4944.891
378,3.315432589,-0.997187057,9.840941797,1,2.771,4958.125
379,3.313360051,-0.9950784,9.900247594,1,2.769,4971.375
380,3.311165033,-0.994935943,9.915566259,1,2.767,4984.61
381,3.308974471,-0.994687492,9.953522279,1,2.765,4997.844
382,3.306806549,-0.995169533,9.981366124,1,2.763,5011.094
383,3.304466428,-0.995793432,10.02763484,1,2.761,5024.328
384,3.302241894,-0.996221443,10.0344979,1,2.758,5037.61
385,3.299827993,-0.995018097,10.08154152,1,2.755,5050.906
386,3.297457816,-0.995424191,10.05961574,1,2.753,5064.11
387,3.294661518,-0.995484542,9.841407965,1,2.751,5077.328
388,3.291568806,-0.995020685,9.637265448,1,2.747,5090.547
389,3.287957251,-0.995946818,9.436062073,1,2.744,5103.781
390,3.284197374,-0.995236592,9.289643616,1,2.74,5117.031
391,3.279976412,-0.995130568,9.113636596,1,2.736,5130.297
392,3.275737954,-0.995755313,8.984968795,1,2.732,5143.5
393,3.270935884,-0.995848213,8.849839192,1,2.727,5156.735
394,3.266169894,-0.995184549,8.736253354,1,2.723,5169.969
395,3.261299136,-0.995471214,8.652626302,1,2.717,5183.219
396,3.255989362,-0.996304756,8.606338698,1,2.712,5196.516
397,3.250608241,-0.995344827,8.445971607,1,2.707,5209.813
398,3.24498548,-0.994402442,8.352157551,1,2.701,5223.125
399,3.239320278,-0.992565681,8.241470214,1,2.696,5236.344
400,3.233500116,-0.995459896,8.227027098,1,2.69,5249.656
401,3.227669456,-0.995141015,8.200768876,1,2.684,5262.891
402,3.221682762,-0.995684374,8.262774755,1,2.678,5276.141
403,3.216138188,-0.995755097,8.417546651,1,2.673,5289.516
404,3.210649742,-0.995376621,8.487646318,1,2.667,5302.797
405,3.205434988,-0.994760533,8.592413642,1,2.662,5316.078
406,3.20029199,-0.995593067,8.673750881,1,2.657,5329.344
407,3.195219948,-0.994248295,8.724841346,1,2.652,5342.594
408,3.190259609,-0.995716169,8.78533057,1,2.646,5355.844
409,3.185081676,-0.994125796,8.859500337,1,2.642,5369.219
410,3.180129362,-0.996711495,8.898316514,1,2.636,5382.453
411,3.175236869,-0.994046243,8.968223541,1,2.632,5395.688
412,3.170485341,-0.996749344,9.018542705,1,2.627,5408.906
413,3.165428272,-0.994704872,9.05020004,1,2.622,5422.156
414,3.160368093,-0.996897914,9.084287764,1,2.616,5435.391
415,3.155139982,-0.995482692,9.143377847,1,2.611,5448.641
416,3.149965619,-0.994933056,9.234461892,1,2.606,5461.938
417,3.144820354,-0.994220399,9.212588958,1,2.601,5475.172
418,3.139252195,-0.996146766,9.243578723,1,2.596,5488.406
419,3.13398747,-0.995212022,9.352178627,1,2.59,5501.688
420,3.128410378,-0.994485638,9.361428082,1,2.584,5514.953
421,3.122950251,-0.996448299,9.45213767,1,2.579,5528.266
422,3.117213574,-0.994862933,9.497491849,1,2.573,5541.531
423,3.111512147,-0.996548702,9.524944944,1,2.568,5554.766
424,3.105419311,-0.994887614,9.568483658,1,2.562,5568.031
425,3.099286634,-0.994234272,9.605103195,1,2.556,5581.375
426,3.093125124,-0.997207808,9.652898815,1,2.549,5594.594
427,3.086741856,-0.995652361,9.701804094,1,2.543,5607.813
428,3.080373927,-0.996134565,9.751419536,1,2.536,5621.047
429,3.073805721,-0.996080512,9.800535443,1,2.53,5634.297
430,3.066985494,-0.995393053,9.844641909,1,2.523,5647.516
431,3.060191477,-0.993523601,9.910290385,1,2.516,5660.735
432,3.053148254,-0.996966377,9.996225655,1,2.509,5673.969
433,3.046044672,-0.996615904,10.08810227,1,2.502,5687.203
434,3.038460115,-0.995474642,10.12826841,1,2.494,5700.406
435,3.03100286,-0.997277223,10.17615169,1,2.487,5713.688
436,3.023111709,-0.996701263,10.20361791,1,2.479,5726.891
437,3.015191693,-0.996029155,10.24245812,1,2.471,5740.141
